filename,loc,site,elev,elevation,species,order,temp_trt,stress,chamber_num,barcode,dryweight,control_corr_mr
MRT63COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,15,ns,4,34107,0.01284,0.002680442
MRT64COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,17.5,ns,1,34108,0.00438,0.004543322
MRT64COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,17.5,ns,2,34109,0.01458,0.006654142
MRT64COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,17.5,ns,3,34110,0.00606,0.002787808
MRT6COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,25,,1,5883,0.00602,0.004399183
MRT6COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,25,,2,5884,0.00702,0.008266447
MRT6COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,25,,3,5885,0.00798,0.016046639
MRT7COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,20,ns,1,5886,0.00511,0.00595313
MRT7COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,20,ns,2,5887,0.00188,-0.002995652
MRT7COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,20,ns,3,,0.00319,-0.001992354
MRT8ACOP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,10,ns,1,5888,0.00636,0.026810437
MRT8ACOP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,10,ns,2,5889,0.00374,-0.002746417
MRT8ACOP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,10,ns,3,5890,0.00379,-0.002195362
MRT9COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,7.5,ns,1,5892,0.00865,0.003158051
MRT9COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,7.5,ns,2,5893,0.00382,-0.00165083
MRT9COP2014.xls,Colorado,Beaver,mid,2590,Hesperoperla,P,7.5,ns,4,5891,0.00479,0.002931407
MRT86Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,5,ns,1,62678,0.00409,-0.004969169
MRT87Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,5,ns,1,62679,0.0192,0.003492421
MRT87Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,5,ns,2,62680,0.01857,0.001631344
MRT86Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,5,ns,3,62676,0.0085,-0.002870124
MRT87Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,5,ns,3,62681,0.02321,0.002565533
MRT86Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,5,ns,4,62677,0.00689,-0.00579795
MRT94Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,7.5,ns,1,62701,0.00898,0.001205878
MRT94Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,7.5,ns,2,62702,0.01443,-0.000650124
MRT95Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,7.5,ns,2,62703,0.01195,0.005400607
MRT95Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,7.5,ns,3,62704,0.0109,0.002566293
MRT94Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,7.5,ns,4,62700,0.00981,0.0014468
MRT95Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,7.5,ns,4,62705,0.01181,-0.000788109
MRT90Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,10,ns,1,62689,0.02561,0.004645138
